,CVEGEO,nom_mun_x,PROG1,BEN1,FOTO1,PROG2,BEN2,FOTO2,PROG3,BEN3,FOTO3,PROG4,BEN4,FOTO4,PROG5,BEN5,FOTO5,PROG6,BEN6,FOTO6,PROG7,BEN7,FOTO7,PROG8,BEN8,FOTO8,PROG9,BEN9,FOTO9,PROG10,BEN10,FOTO10,PROG11,BEN11,FOTO11,PROG12,BEN12,FOTO12,PROG13,BEN13,FOTO13,PROG14,BEN14,FOTO14,PROG15,BEN15,FOTO15,mapa,cve_ent,cve_mun,nom_mun_y,latitud,longitud,lat_decimal,lon_decimal,altitud
44,30045,Cosamaloapan de Carpio,0,0,0,0,0,0,0,1,0,0,1,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300450001,30,45,Cosamaloapan de Carpio,"18°21´53.186""N","095°47´46.891""W",18.364774,-95.796359,15
45,30046,Cosautlán de Carvajal,0,0,0,0,0,0,Capacitación en materia industrial,2,0,Capacitación en materia industrial,2,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,Vinculación industrial,2,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,0,0,0,0,0,0,Registro de Marca ante el IMPI,1,0,0,0,0,300460001,30,46,Cosautlán de Carvajal,"19°19´57.517""N","096°59´28.912""W",19.332644,-96.991364,1262
46,30047,Coscomatepec,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,Gestíon y Acompañamiento en materia industrial,6,https://www.flickr.com/photos/193071064@N03/albums/72157719260099024,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300470001,30,47,Coscomatepec,"19°04´22.434""N","097°02´47.114""W",19.072898,-97.046421,1530
47,30048,Cosoleacaque,Promoción,1,https://www.flickr.com/photos/193071064@N03/albums/72157719263860576,0,0,0,Capacitación en materia industrial,6,0,Capacitación en materia industrial,6,0,Plataforma Digital,,0,Atención y Atracción de Inversiones,1,https://www.flickr.com/photos/193071064@N03/albums/72157719270644337,0,0,0,PDIT,20,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,0,0,0,0,0,0,0,0,0,Obtención de Código de Barras,1,0,0,0,0,0,0,0,0,0,0,300480001,30,48,Cosoleacaque,"17°59´54.942""N","094°38´08.499""W",17.998595,-94.635694,48
48,30049,Cotaxtla,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,3,https://www.flickr.com/photos/193071064@N03/albums/72157719313133965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300490001,30,49,Cotaxtla,"18°50´07.893""N","096°23´43.511""W",18.835526,-96.39542,37
49,30050,Coxquihui,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,PDIT,17,https://www.flickr.com/photos/193071064@N03/albums/72157719270736637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300500001,30,50,Coxquihui,"20°11´05.054""N","097°35´10.574""W",20.184737,-97.586271,299
50,30051,Coyutla,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300510001,30,51,Coyutla,"20°14´49.638""N","097°39´27.710""W",20.247122,-97.657697,154
51,30052,Cuichapa,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,Registro Único de Productores Veracruzanos,1,0,Marca de Certificación Hecho en Veracruz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,300520001,30,52,Cuichapa,"18°46´24.636""N","096°52´09.206""W",18.77351,-96.869224,569
52,30053,Cuitláhuac,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300530001,30,53,Cuitláhuac,"18°48´52.342""N","096°43´20.362""W",18.814539,-96.722323,371
53,30054,Chacaltianguis,0,0,0,0,0,0,0,0,0,0,0,0,Plataforma Digital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300540001,30,54,Chacaltianguis,"18°18´19.211""N","095°50´29.005""W",18.305336,-95.84139,13
